Size, Type, Time
100, "Sequential", 0.000030
100, "Parallel", 0.030270
100, "Built-in", 0.000016
100, "Sequential", 0.000020
100, "Parallel", 0.028391
100, "Built-in", 0.000017
100, "Sequential", 0.000013
100, "Parallel", 0.018920
100, "Built-in", 0.000034
100, "Sequential", 0.000027
100, "Parallel", 0.027540
100, "Built-in", 0.000033
100, "Sequential", 0.000030
100, "Parallel", 0.028350
100, "Built-in", 0.000033
1000, "Sequential", 0.000412
1000, "Parallel", 0.102134
1000, "Built-in", 0.000478
1000, "Sequential", 0.000182
1000, "Parallel", 0.090824
1000, "Built-in", 0.000430
1000, "Sequential", 0.000430
1000, "Parallel", 0.103589
1000, "Built-in", 0.000271
1000, "Sequential", 0.000410
1000, "Parallel", 0.111799
1000, "Built-in", 0.000433
1000, "Sequential", 0.000439
1000, "Parallel", 0.107408
1000, "Built-in", 0.000449
10000, "Sequential", 0.002228
10000, "Parallel", 0.196933
10000, "Built-in", 0.005169
10000, "Sequential", 0.002349
10000, "Parallel", 0.196965
10000, "Built-in", 0.002323
10000, "Sequential", 0.002329
10000, "Parallel", 0.195014
10000, "Built-in", 0.003746
10000, "Sequential", 0.002296
10000, "Parallel", 0.189982
10000, "Built-in", 0.004381
10000, "Sequential", 0.005446
10000, "Parallel", 0.182006
10000, "Built-in", 0.001862
100000, "Sequential", 0.021676
100000, "Parallel", 0.222055
100000, "Built-in", 0.030679
100000, "Sequential", 0.027472
100000, "Parallel", 0.272302
100000, "Built-in", 0.028609
100000, "Sequential", 0.027073
100000, "Parallel", 0.205253
100000, "Built-in", 0.028704
100000, "Sequential", 0.027976
100000, "Parallel", 0.195524
100000, "Built-in", 0.030733
100000, "Sequential", 0.021583
100000, "Parallel", 0.151848
100000, "Built-in", 0.030005
1000000, "Sequential", 0.295813
1000000, "Parallel", 0.494590
1000000, "Built-in", 0.270248
1000000, "Sequential", 0.303644
1000000, "Parallel", 0.521404
1000000, "Built-in", 0.273530
1000000, "Sequential", 0.291582
1000000, "Parallel", 0.558637
1000000, "Built-in", 0.311100
1000000, "Sequential", 0.251758
1000000, "Parallel", 0.465316
1000000, "Built-in", 0.272024
1000000, "Sequential", 0.258132
1000000, "Parallel", 0.429037
1000000, "Built-in", 0.269436
