Size, Type, Time
100, "Sequential", 0.000031
100, "Parallel", 0.031500
100, "Built-in", 0.000034
100, "Sequential", 0.000033
100, "Parallel", 0.021060
100, "Built-in", 0.000034
100, "Sequential", 0.000031
100, "Parallel", 0.027252
100, "Built-in", 0.000035
100, "Sequential", 0.000029
100, "Parallel", 0.024985
100, "Built-in", 0.000035
100, "Sequential", 0.000013
100, "Parallel", 0.025643
100, "Built-in", 0.000014
1000, "Sequential", 0.000189
1000, "Parallel", 0.125220
1000, "Built-in", 0.000455
1000, "Sequential", 0.000175
1000, "Parallel", 0.116494
1000, "Built-in", 0.000194
1000, "Sequential", 0.000398
1000, "Parallel", 0.103954
1000, "Built-in", 0.000491
1000, "Sequential", 0.000177
1000, "Parallel", 0.079294
1000, "Built-in", 0.000451
1000, "Sequential", 0.000431
1000, "Parallel", 0.092544
1000, "Built-in", 0.000497
10000, "Sequential", 0.004926
10000, "Parallel", 0.189333
10000, "Built-in", 0.002369
10000, "Sequential", 0.002204
10000, "Parallel", 0.144964
10000, "Built-in", 0.001814
10000, "Sequential", 0.002161
10000, "Parallel", 0.165711
10000, "Built-in", 0.004003
10000, "Sequential", 0.005195
10000, "Parallel", 0.170694
10000, "Built-in", 0.002284
10000, "Sequential", 0.005172
10000, "Parallel", 0.160154
10000, "Built-in", 0.002300
100000, "Sequential", 0.021302
100000, "Parallel", 0.229502
100000, "Built-in", 0.030892
100000, "Sequential", 0.025877
100000, "Parallel", 0.189815
100000, "Built-in", 0.031866
100000, "Sequential", 0.026676
100000, "Parallel", 0.207222
100000, "Built-in", 0.028399
100000, "Sequential", 0.026667
100000, "Parallel", 0.185325
100000, "Built-in", 0.029052
100000, "Sequential", 0.025262
100000, "Parallel", 0.180308
100000, "Built-in", 0.028662
1000000, "Sequential", 0.258735
1000000, "Parallel", 0.488411
1000000, "Built-in", 0.278706
1000000, "Sequential", 0.308455
1000000, "Parallel", 0.484267
1000000, "Built-in", 0.268415
1000000, "Sequential", 0.253655
1000000, "Parallel", 0.483334
1000000, "Built-in", 0.281331
1000000, "Sequential", 0.260677
1000000, "Parallel", 0.490347
1000000, "Built-in", 0.271001
1000000, "Sequential", 0.253944
1000000, "Parallel", 0.514920
1000000, "Built-in", 0.268656
