Size, Type, Time
100, "Sequential", 0.000020
100, "Parallel", 0.007249
100, "Built-in", 0.000023
100, "Sequential", 0.000020
100, "Parallel", 0.005492
100, "Built-in", 0.000022
100, "Sequential", 0.000021
100, "Parallel", 0.007248
100, "Built-in", 0.000023
100, "Sequential", 0.000020
100, "Parallel", 0.007299
100, "Built-in", 0.000023
100, "Sequential", 0.000020
100, "Parallel", 0.005768
100, "Built-in", 0.000022
1000, "Sequential", 0.000246
1000, "Parallel", 0.017722
1000, "Built-in", 0.000288
1000, "Sequential", 0.000247
1000, "Parallel", 0.019318
1000, "Built-in", 0.000269
1000, "Sequential", 0.000249
1000, "Parallel", 0.016847
1000, "Built-in", 0.000274
1000, "Sequential", 0.000246
1000, "Parallel", 0.016554
1000, "Built-in", 0.000264
1000, "Sequential", 0.000251
1000, "Parallel", 0.017783
1000, "Built-in", 0.000337
10000, "Sequential", 0.003280
10000, "Parallel", 0.041426
10000, "Built-in", 0.003237
10000, "Sequential", 0.003254
10000, "Parallel", 0.030850
10000, "Built-in", 0.003248
10000, "Sequential", 0.003263
10000, "Parallel", 0.053056
10000, "Built-in", 0.003290
10000, "Sequential", 0.003280
10000, "Parallel", 0.036506
10000, "Built-in", 0.003250
10000, "Sequential", 0.003350
10000, "Parallel", 0.036497
10000, "Built-in", 0.003304
100000, "Sequential", 0.038760
100000, "Parallel", 0.070939
100000, "Built-in", 0.041188
100000, "Sequential", 0.038327
100000, "Parallel", 0.058566
100000, "Built-in", 0.041526
100000, "Sequential", 0.025406
100000, "Parallel", 0.042593
100000, "Built-in", 0.025063
100000, "Sequential", 0.035299
100000, "Parallel", 0.054045
100000, "Built-in", 0.026926
100000, "Sequential", 0.025579
100000, "Parallel", 0.052147
100000, "Built-in", 0.027482
1000000, "Sequential", 0.249603
1000000, "Parallel", 0.315077
1000000, "Built-in", 0.252541
1000000, "Sequential", 0.239565
1000000, "Parallel", 0.302502
1000000, "Built-in", 0.231765
1000000, "Sequential", 0.226988
1000000, "Parallel", 0.299331
1000000, "Built-in", 0.242739
1000000, "Sequential", 0.283179
1000000, "Parallel", 0.277082
1000000, "Built-in", 0.234834
1000000, "Sequential", 0.254037
1000000, "Parallel", 0.283214
1000000, "Built-in", 0.228591
